id,question,gt_docs,dense_recall@5,dense_recall@12,dense_mrr@5,sparse_recall@5,sparse_recall@12,sparse_mrr@5,hybrid_recall@5,hybrid_recall@12,hybrid_mrr@5,hybrid_rerank_recall@5,hybrid_rerank_recall@12,hybrid_rerank_mrr@5
1,What was 3M's total net sales in fiscal year 2022?,3M_2022_10K.pdf,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0
2,3M公司2022年度的净销售额是多少？,3M_2022_10K.pdf,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
3,What was net income attributable to 3M in 2022?,3M_2022_10K.pdf,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
4,How much net income did 3M report for fiscal year 2018?,3M_2018_10K.pdf,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
5,"How many employees did 3M have at December 31, 2018?",3M_2018_10K.pdf,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0
6,动视暴雪（Activision Blizzard）2019年的合并净收入（consolidated net revenues）是多少？,ACTIVISIONBLIZZARD_2019_10K.pdf,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,What was AES Corporation's total revenue in 2022?,AES_2022_10K.pdf,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,"Did AES report net income or a net loss attributable to The AES Corporation in 2022, and how much was it?",AES_2022_10K.pdf,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,What were 3M's sales from the Health Care business segment in 2022?,3M_2022_10K.pdf,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,"3M 2022年第四季度之前的全年研发费用（research, development and related expenses）是多少？",3M_2022_10K.pdf,0.0,1.0,0.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,1.0
11,"What was 3M's net sales for the three months ended June 30, 2023?",3M_2023Q2_10Q.pdf,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,"What was Activision Blizzard's product sales in 2019, and what share of total net revenues did product sales represent?",ACTIVISIONBLIZZARD_2019_10K.pdf,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,What was 3M's operating income in fiscal year 2022?,3M_2022_10K.pdf,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,1.0
14,3M 2022年在美洲地区（Americas）的净销售额及其占全球比例是多少？,3M_2022_10K.pdf,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0
15,How much revenue did 3M generate in fiscal year 2021?,3M_2022_10K.pdf,1.0,1.0,0.25,1.0,1.0,0.5,1.0,1.0,0.25,1.0,1.0,0.2
16,3M在2018财年实现的销售收入是多少美元？,3M_2018_10K.pdf,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
17,How many employees did 3M have at the end of 2022?,3M_2022_10K.pdf,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,What was Activision Blizzard's net income in 2018?,ACTIVISIONBLIZZARD_2019_10K.pdf,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
